Title,Genero,Synopsis,Ganó_Emmy,Cantidad_Emmys,Rating,Popularity,Vote Count,Origin Country,First Air Date,In production,Status,Number of Season,Number of Episodes,Episode Duration,Reviews,Has_Reviews
rupaul's drag race,Reality,"Join RuPaul, the world's most famous drag queen, as the host, mentor and judge for the ultimate in drag queen competitions. The top drag queens in the U.S. will vie for drag stardom as RuPaul, in full glamazon drag, will reign supreme in all judging and eliminations while helping guide the contestants as they prepare for each challenge.",True,13.0,7.5,169.546,237,US,2009-02-02,True,Returning Series,17,239,0.0,"Back in the 90s, RuPaul wasn't that bad.  But now the PC has gotten insane, so insane that it boarders on actual phobia, actual prejudice, actual hate.  It's so political you can predict the winner in the first episode now, you can just check the DEI boxes and say ""that one is going to win,"" and you're going to be absolutely correct.

And that's a pretty big change from the first 6 seasons where the show felt like an actual competition and you saw some pretty impressive things.  Now one contestant can actually flip over another to take the spotlight... and Diversity, Equity, and Inclusion is still going to dictate who the winner is.

But, post Nashville shooting, the last show is full of 7's, the signs signifying that the shooter was the actual victim.  And it's all done whilst playing the victim role.  The show can support someone that killed two 9-year-olds because of their religion, and then pretend that they are the ones under attack.

That's a step too far.   I don't care what you identify as, at that point you're NOT the victim, they children killed are the victims, and this show should be ashamed of itself for taking that stance.",True
survivor,Reality,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",True,7.0,7.4,665.683,386,US,2000-05-31,True,Returning Series,48,694,0.0,No reviews,False
deadliest catch,Reality,"Forty-foot waves, 700 pound crab pots, freezing temperatures and your mortality staring you in the face…it's all in a day's work for these modern day prospectors. During each episode we will watch crews race to meet their quota and make it home safely.",True,15.0,7.1,94.63,149,US,2005-04-12,True,Returning Series,20,351,0.0,No reviews,False
life below zero,"Reality, Documentary","Viewers go deep into an Alaskan winter to meet six tough and resilient residents as they try to stay one step ahead of storms and man-eating beasts to make it through to spring. The closest neighbor to Sue Aikens is more than 300 miles away. Eric Salitan subsists solely on what he hunts and forages. Chip and Agnes Hailstone catch fish for currency in bartering for supplies, and Andy and Kate Bassich use their pack of sled dogs for transportation.",True,4.0,7.4,54.793,39,US,2013-05-19,True,Returning Series,23,247,60.0,No reviews,False
rupaul's drag race: untucked,Reality,"The access-all-areas pass to the drama that you didn't see on the runway—the backstage bitchiness, the catfights, the struggles, the tears and the secrets. See what happens behind the scenes of RuPaul's Drag Race when the queens let their tucks breathe... and let their emotions flow.",False,0.0,6.2,54.751,47,US,2010-02-01,True,Returning Series,16,195,21.0,No reviews,False
the voice,Reality,"The strongest vocalists from across the United states compete in a blockbusters vocal competition, the winner becomes “The Voice.” The show's innovative format features four stages of competition: the blind auditions, the battle rounds, the knockouts and, finally, the live performance shows.",True,7.0,5.9,359.994,202,US,2011-04-26,True,Returning Series,27,647,66.5,No reviews,False
conan,"Talk, Comedy, News",A late night television talk show hosted by  Conan O'Brien.,False,0.0,7.04,874.726,227,US,2010-11-08,False,Ended,11,1510,41.333333333333336,No reviews,False
the late late show with james corden,Talk,"Once Craig Ferguson retires, James Corden will be taking over The Late Late Show. The show is a late night talk show that interviews celebrities and has its own bits. And of course, it's all hosted by James Corden.",True,1.0,5.342,274.212,133,US,2015-03-23,False,Ended,8,1200,40.0,No reviews,False
the good place,"Sci-Fi & Fantasy, Comedy","Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person. With the help of her wise afterlife mentor, she's determined to shed her old way of living and discover the awesome (or at least the pretty good) person within.",False,0.0,8.0,92.24,1652,US,2016-09-19,False,Ended,4,50,22.0,"The Good Place is a fantasy-comedy that was first broadcast on NBC in the Fall of 2016.  Unlike most TV comedies, it is serialized, with a continuing story that flows from one episode to the next.  It is filmed without a laugh track.

The show has six characters.  Two of them Janet and Michael (Ted Danson), operate a post-mortem world call the Good Place, and the other four, Eleanora (Kristin Bell), Chidi, Tahani, and Jason, are recently deceased humans who are bewildered to find themselves in the place. 

I find this a highly original show.  It deals with issues rarely seen in TV comedy: death and the afterlife, guilt and responsibility, but does so in highly amusing ways (One running joke is a spell that overrides swear words with innocuous ones like ""fork"" and ""shirt"", much to the irritation of characters who really feel a need to sound off).  It has a unusually diverse cast, three of the six main characters being Filipino, Asian-Indian, and Senegalese.  Since Chidi is a former philosophy professor, it also has an intellectual side as he tries to make sense of his new eternal dwelling place.  In contrast to the well-behaved ""Good Place"",  we have frequent farcical flashbacks to the characters' wild former lives, a la ""Lost"". 

For viewers looking for something different, I quite recommend this show. | Oddly Refreshing. | Not bad, but I lost interest about halfway through season two. It felt like the writing quality had taken a dive and they started going for easy/obvious laughs. I am waiting for Kristen Bell to find a show where she does as well as she did in _House of Lies_!",True
america's got talent,Reality,"A weekly talent competition where an array of performers – from singers and dancers, to comedians and novelty acts – vie for a $1 million cash prize.",False,0.0,5.7,96.57,255,US,2006-06-21,True,Returning Series,20,469,85.0,No reviews,False
warrior,"Crime, Drama, Action & Adventure, Western","A gritty, action-packed crime drama set during the brutal Tong Wars of San Francisco’s Chinatown in the second half of the 19th century. The series follows Ah Sahm, a martial arts prodigy who immigrates from China to San Francisco under mysterious circumstances, and becomes a hatchet man for one of Chinatown’s most powerful tongs.",False,0.0,7.966,96.129,575,US,2019-04-05,False,Canceled,3,30,55.0,"The marketing point for this series is that this work is ""based on the writings of Bruce Lee.""  Well it certainly does indeed; the storylines and ideologies are from that of the 1970's, which are so out of touch with the 21st century audience.  If one enjoys his type of corny and nonsensical scenarios from his films in the 70's, then this series is along the lines of those films.  If one is looking at this series for the martial arts elements, then you'll be disappointed too.  There's nothing special or memorable here with just a slight homage to his classic steps and moves--again more stuff from the 70's.  Watch 'Into the Badlands' instead... their producers learned after the first season, much more artistic, dynamic and grandiose in the second season.

In this day and age when the n-word is sensitively removed from the lexicons in entertainment, media and society, then why is it still OK to repeatedly use the c-word which is equally vile, hurtful and offensive?  Just teaching and perpetuating another generation of viewers that it is OK to continue to be hateful and insulting.  This also just shows the lacking of creativeness and skillfulness in the writers' and directors' storytelling abilities--shame on them for being tone-deaf and taking the easy route.  This is not a matter of being PC, but rather the fact that the show-runners are ignorant and irresponsible in producing such crap.  Wake up folks; it is 2019 and no longer acceptable. | it was really good. It was a project that the late Bruce Lee wanted to do for so long, before his passing.

However, I am not pleased that it ended after 2 seasons, especially after where it left it! Which is why I gave it 3 and a half stars. Sorry.

Still, Warrior was a brutal and satisfying martial arts show, which would've compete against Game of Thrones. Or at least of few shows that have that potential. | I would like to be able to say I'm glad to see Warrior back on the screen for a third season but, well, I'm not. Here's why.

It was my understanding that this series was finished with season two. Season two rounded out the tale of a clash between rival Tongs in the early days of San Francisco, nicely.

The third season effectively starts without any meaningful purpose and direction and it really shows.The struggle between the Tong's is resurrected, leaving a stale feeling of deja vu. A new character or two is dropped in, along with a sprinkling of sub plots in an attempt to liven things up. That said, its not really contributing anything compelling to a tale well told. 

Adding not only to the sense of inertia but also irritation is the need to tout, the by now hoary chestnut, that is ""the message"". Alternate lifestyles, diversity and feminism are front and centre. Out of place revisionism, in a tale that's supposed to be set over 100 years ago, filled with gritty, martial arts, action.  

In summary, if you are going to resurrect a series you better have something meaningful to add to whats gone before. Warrior season three, hopes to cash in on its past success, without understanding what made the series work in previous seasons.",True
house of cards,Drama,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",True,7.0,8.02,99.347,2791,US,2013-02-01,False,Ended,6,73,0.0,"I've seen a fair few political show's over the years but this is the first one that really brings home the corruption and power of today's political class. Spacey is brilliant as the central character, exuding ambition and showing just what he will do to make it to the top. The little scenes where he talks to the camera really make a difference too his character as you see whats going on in his mind rather than just seeing the front he puts on to various other characters in the show.

Add to that some stunning performances from his wife and various other politicians and journalists and you have a cracking show that grips you from beginning to the end.

The quality of the videography is also worth a mention, this show is probably the best looking in 4K I have ever scene with great lighting and locations.

Recommended! | ""If you can tell a taut, precise story in one episode, stretch it out into a slack, incoherent, tedious season instead"" seems to be this show's motto. House of Cards has good ideas and good actors, which it fails in its execution, with poor scripts and poorer editing. The story could have easily been told in half the time, and would have been all the better for it. This TV series is, like so much in the original Netflix stable, cattle feed for its undiscerning subscribers. | Seasons 1 and 2 are a 9.7/10.
Seasons 3,4 and 5 are around an 8/10.
And season 6 was a 6.3/10, unlike most people I didn't hate the last season even tho the ending was pretty underwelming. The show is an 8/10. | Wow! I have never stopped watching a series before this one. Even some of the paltry tripe like ""Dante's Cove"" or ""Game Of Thrones"" I managed to watch the series. But I watched the first season of this into Episode 10, where Frank kills Peter, and I just. Couldn't. Stand it. I ejected the blu-ray and have put up the series on Ebay for sale. I'll let someone else suffer.

NO ONE IS THIS MORALLY BANKRUPT AND EVIL (except for maybe Donald Trump). While we all would like to think that the deep, dark heart of politics is based on behaviour such as this, it is not reasonable that two people (Frank and Claire) would be able to manipulate EVERYBODY in their sphere to get what they want. Yes, there are naive people out there, but not everyone is cut from that cloth. This series (or at least what I could take of it) tries to make us believe that they are all cut from the same cloth, except for Frank and Claire. Stupid, just stupid.

To the creators of this show and to Netflix - you have to give the viewer a reason to watch this series, other than to dread every next move that the main characters make. There was no evidence at all that Frank and Claire were anything more than conniving, hateful people, because the writing and, especially, the direction gave us no more than that. And when the main characters are like that (written and directed very one-dimensionally), it makes it unwatchable because I, as the viewer, have no hope for any character in the show to develop in a positive manner or to react realistically to situations presented. Instead of killing Russo, Underwood could have been a human being and helped him into rehab, which would have effectively muzzled him anyway. But no - for dramatic effect, they had to have him killed. To what end? It made me as the viewer cringe and realize that the show was going to continue this way going forward, with no redemption for anyone in the show.

That being said, the performances were absolutely amazing, given the crappy material and direction that they were given. But good acting only goes so far. It *almost* seemed like Claire wanted to bust out when she was off coupling with her soulmate, but he turned out not to be that, as she suddenly reverted back to her mean and heartless ways.

I watch series for character development and to learn about human behaviour. I need a *hero* or at least a main character that has hope for growth and/or redemption. This series has neither. (Very much like Dexter years ago - why would I cheer or want to follow a serial killer?)

Don't waste your time with this. It'll leave you feeling dreadful and somewhat angry after each episode, without any payback for being put through that.",True
this is us,Drama,"Follows the lives and families of three adults living and growing up in the United States of America in present and past times. As their paths cross and their life stories intertwine in curious ways, we find that several of them share the same birthday - and so much more than anyone would expect.",True,4.0,8.2,179.315,1461,US,2016-09-20,False,Ended,6,105,43.0,I might be a man but I cry watching this show its just that close to real life if your looking for a real story and loveable characters to go along with it this is the show for you I have never not laughed or cried during any episode I have seen and I have developed a crush on Kate 'yea I said it I like the big girl lol' but everyone even the kids are charming and I believe even tweens can relate to the tween characters so its good for an older family too 'some sexual content and swearing some times' but aside from that its fantastic I say watch this one,True
crazy ex-girlfriend,"Comedy, Drama","Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, California.",True,4.0,6.8,48.024,171,US,2015-10-12,False,Ended,4,62,43.0,No reviews,False
black monday,"Comedy, Crime","Travel back to October 19, 1987 – aka Black Monday, the worst stock market crash in Wall Street history – this is the story of how a group of outsiders took on the blue-blood, old-boys club of Wall Street and ended up crashing the world’s largest financial system, a Lamborghini limousine, Don Henley’s birthday party and the glass ceiling.",False,0.0,7.0,62.426,67,US,2019-01-20,False,Canceled,3,30,30.0,No reviews,False
better call saul,"Crime, Drama","Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",False,0.0,8.7,261.099,5430,US,2015-02-08,False,Ended,6,63,0.0,"I better call Saul, 'cause it looks like I'm gonna break bad.",True
how to get away with murder,"Crime, Drama, Mystery","A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",True,1.0,7.845,140.243,1628,US,2014-09-25,False,Ended,6,90,43.0,No reviews,False
the twilight zone,"Sci-Fi & Fantasy, Mystery, Drama","A series of unrelated stories containing drama, psychological thriller, fantasy, science fiction, suspense, and/or horror, often concluding with a macabre or unexpected twist.",True,8.0,8.4,128.61,906,US,1959-10-02,False,Ended,5,156,38.5,"Yeah, some of the Fx stand the test of time don't they? Shocking given that this was made in the early 60s.

And because it was made in the early 60s it certainly has the most moralistic bent to it, and for a series like The Twilight Zone, it works and it sets it apart from all the revivals made to date.

Sure, yeah, the 2019 has a ""moralistic"" side as well, certainly more than the 80s and 00s revivals, but the 2019 morals are more... propagandist, more hateful.

This version, the morals are about individual virtue, about loyalty and courage and wisdom and not about... well, not about partisan politics and division. That makes a difference in the story telling.

You have lessons, like don't become reliant on superstitions that you really hardly see in the 00s and the 2019 revivals, and you only occasionally saw in the 80s revival. You have episodes that have a warning, a clear cut warning that serve as a guideline.

And then you have your pure science fiction episodes that, even then, come with a love of pure irony that made the series so well loved. The twists and turns are spooky and heartwarming.

What's not to love? | The utter genius in this show, the ability to create dozens of brilliant high concepts and execute them perfectly. One of the greatest shows of all time.",True
the twilight zone,"Sci-Fi & Fantasy, Drama, Mystery","This 1980s revival of the classic sci-fi series features a similar style to the original anthology series. Each episode tells a tale (sometimes two or three) rooted in horror or suspense, often with a surprising twist at the end. Episodes usually feature elements of drama and comedy.",True,8.0,7.7,110.01,217,US,1985-09-27,False,Ended,3,110,37.5,"Yeah, for the longest time I thought I was the only person that actually liked this, but thanks to the internet I now know that I'm not alone.

And, like the first series, you get your fill of horror and science fiction ironic twists... more with an eye to horror in the 80s version and not so much science fiction. And one episode that seems like an updated Wicker Man.

Anyway, everything has been said already, so the best thing I can do is point out that it had everyone. I mean it had EVERYONE, every actor that wasn't a leading man in the 80s and some actors that were, it had has beens and will bes in it.

You're going to sit down and spend and episode screaming ""Oh! I know him from!""

And in 2020, pure nostalgia.",True
the twilight zone,"Sci-Fi & Fantasy, Mystery, Drama","Tales of science fiction, fantasy and the occult, exploring humanity's hopes, despairs, prides and prejudices in metaphoric ways. Next stop ahead The Twilight Zone.",True,8.0,6.675,72.828,374,US,2019-04-01,False,Canceled,2,20,55.0,"Watched to first 2 episodes of CBS The Twilight Zone. Just under the surface It seems to be intentionally mischaracterizing what would probably be the only group of people that would understand it. So, though I take issue with much of the way characterizations are misrepresented; it is done well. Which just adds my theory that it is intentionally reinforcing the narrative given of character types by the establishment. It isn't apparent if you aren't really thinking about it and don't know better and is an undertone throughout thus far. Which is another reason to think it is intentionally so. | Well, this was supposed to be The Twilight Zone, a series known for unexpected twists and turns, for horror, for science fiction, for irony, for pure, unadulterated irony.

Except this is 2019 and it has to have a strong political message and all the characters have to be based on cliches of their race, gender, sexual orientation, identity, and, you know, NOT INDIVIDUAL PERSONALITIES.

It's really hard to make a show with twists and turns when you have to stick to a strict Political format based on the tenants of Cancel Culture.

So, instead what you have is kind of what you see in every other television show created post 2016, only with an anthology feel that kind of misses the mark because politics don't allow people to be individuals and more than surface deep.

So it's as interchangeable as every other show on television today that stays with that format. And, like all the other remakes, it tries more to mock than homage.",True
the twilight zone,"Sci-Fi & Fantasy, Mystery, Drama","A 2002 revival of Rod Serling's 1950/60s television series, The Twilight Zone, with actor Forest Whitaker assuming Serling's role as narrator and on-screen host.",True,8.0,7.2,69.925,102,US,2002-09-18,False,Canceled,1,43,21.0,"Well.... something went wrong here didn't it?

I mean the formula was there, the cast was certainly there, Forrest Whitaker did a great job... and you do sort of believe he was really into it when you watch it, like more than a host, more like a fan who's dream of being Serling came true sort of got into it.

So what happened?

Unfortunately the story kind of happened. The original series, and the 80s revival had the quality you would expect, but by the naught's revival it fizzled out through lack of decent story. The plot turns you saw coming a mile away, even when they weren't playing to the tropes of the genre, it all seemed predictable.

And then, it was cheap. When the 80s version, almost 20 years, almost two full decades removed looked better, you are left with a cheap feeling, a feeling that they were relying on the name and the casting to pull it through in the ratings and didn't feel the need to properly fund it at all.

So in the end, you have a poor showing with a great cast.",True
orange is the new black,"Comedy, Drama","A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",True,4.0,7.7,128.65,2542,US,2013-07-11,False,Ended,7,91,0.0,"Wow! This must be my favourite ever TV show. It has totally blown me away. I’m very reserved about giving ratings with my average being 65% but this was 100%.  Loved and lived every moment and felt every emotion there is. The basic premise is simple. Middle-class white, Piper Chapman gets put in jail and a very different environment than she’s used to and with very different people. That’s it really. Sounds simple and depressing.  But as we learn more about the people in her new social circle we learn that they each have their own, often tragic, story and explanation of how they got there and how they became the person they now are. Based on the real-life experience of Piper Kerman, it raises questions of corporate for-profit prisons, race, inequality and many social issues. Although a depressing situation and premise, the perfectly scripted, cast and acted intertwined stories throw often hilarious moments into the story. I’ve spent many moments laughing at the same time as crying through these series. This is an experience beyond TV.",True
honest trailers,,Trailers that tell you the TRUTH about your favorite movies and TV shows: Honest Trailers. These are the hilarious trailers the producers don't want you to see...,False,0.0,6.442,89.89,26,US,2012-02-13,True,Returning Series,14,594,0.0,No reviews,False
american masters,Documentary,"American Masters is a PBS television series which produces biographies on enduring writers, musicians, visual and performing artists, dramatists, filmmakers, and others who have left an indelible impression on the cultural landscape of the United States.",True,20.0,7.1,99.686,16,US,1986-06-23,True,Returning Series,39,301,90.0,No reviews,False
comedians in cars getting coffee,"Comedy, Talk","Jerry takes his comedy pals out for coffee in a selection of his classic automobiles. Larry David sums it up best when he says, 'You've finally made a show about nothing.'",False,0.0,7.229,58.14,144,US,2012-07-19,False,Ended,11,84,17.2,No reviews,False
antiques roadshow,Documentary,"Based on the popular BBC series running since 1979, the PBS Antiques Roadshow combines history with discovery. Each year, the show visits a handful of cities to appraise items brought in by viewers. Are these items worth a lot of money, more than the visitors expect?",False,0.0,7.5,222.865,17,US,1997-01-09,True,Returning Series,29,625,60.0,No reviews,False
"diners, drive-ins and dives","Documentary, Reality","Host Guy Fieri takes a cross-country road trip to visit some of America's classic ""greasy spoon"" restaurants — diners, drive-ins and dives — that have been doing it right for decades.",False,0.0,6.6,110.187,60,US,2007-04-23,True,Returning Series,51,666,22.0,No reviews,False
shark tank,Reality,"Aspiring entrepreneurs pitch various business ideas to ""The Sharks"" -- tough, self-made, multi-millionaire and billionaire tycoons -- in hopes of landing an investment.",True,4.0,6.7,76.898,122,US,2009-08-09,True,Returning Series,16,350,44.0,No reviews,False
nailed it!,Reality,"Home bakers who have a poor track record in the kitchen seek redemption -- and cash -- on this series. In each episode, three contestants try their hand at re-creating edible masterpieces. The projects don't always turn out great, but whichever amateur baker comes closest to a successful dessert by the end of the episode takes home the $10,000 prize, which they might want to use on baking lessons. Comic Nicole Byer and renowned pastry chef Jacques Torres host. It's part reality contest, part hot mess.",False,0.0,7.043,66.246,70,US,2018-03-09,False,Ended,7,43,33.0,No reviews,False
gotham,"Drama, Crime, Sci-Fi & Fantasy","Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",True,1.0,7.593,404.6,3437,US,2014-09-22,False,Ended,5,100,43.0,No reviews,False
tom clancy's jack ryan,"Action & Adventure, Drama, War & Politics","When CIA analyst Jack Ryan stumbles upon a suspicious series of bank transfers his search for answers pulls him from the safety of his desk job and catapults him into a deadly game of cat and mouse throughout Europe and the Middle East, with a rising terrorist figurehead preparing for a massive attack against the US and her allies.",False,0.0,7.7,162.068,1548,US,2018-08-30,False,Ended,4,30,0.0,"Tom Clancy’s Jack Ryan isn’t 24 or NCIS, at least from the first episode, but the rest of the season does have the potential to develop into something more.

The series opens as an airstrike takes place in Lebanon, where the seeds of hate are sown for two young survivors. The story then cuts to the present day in Washington D.C. where we find our protagonist rowing in the Potomac River.

Jack Ryan (played by John Krasinski) is a Boston College graduate, veteran U.S. Marine, and in the present a CIA analyst who has been cross-analyzing databases trying to find possible terrorist activity in Yemen. He discovers a pattern of financial transactions that he believes could lead to the next Bin Laden, but his voice is squashed by a recently demoted department chief named James Greer.

Ryan takes steps to go over the head of his superior, and this immediately causes conflict within the CIA section where Ryan feels he is on to something. But Greer soon learns Ryan’s instincts were right, and the two end up flying to Yemen where they’ve found the man suspected of moving $90 million U.S. dollars to fund a terrorist plot.

Considering the show has already been given the green light for a second run, Amazon must be getting some decent reviews and at least enough hype to produce another 8 episodes. But so far this series is a snoozer, and without Krasinski and the benefit of 20 novels and five films based on Tom Clancy’s character, the show would be a flop.

Entire Review: <a href=""https://hd-report.com/2018/09/01/review-tom-clancys-jack-ryan-amazon-prime-original-series/"">Review: ‘Tom Clancy’s Jack Ryan’ Amazon Prime Original Series</a> https://goo.gl/buiKxC | * A very pleasant surprise!

We've only just signed up for Prime and this is the first series I watched. I'm glad I did too, because the action is very exciting, the characters are believable - even though they've taken a few liberties on Clancy's originals - and I enjoyed how the focus was swinging to and from the terrorists' point of view.
Krasinski does a fine job as the young Ryan. Not too self effacing and nerdy and not over the top heroic.
It's shot in 4K too and the cinematography is superb, so I'm really looking forward to season two. | Wendell Pierce is a bit.... young... isn't he? I mean he does a great job, but after James Earl Jones and Morgan Freeman you would expect someone that at least looks a bit older. Someone not so Gen-X.

But then John Krasinski doesn't really look like someone that would have ""Ryan"" as a last name.... and, like Wendell, he does a good enough job too.

John Hoogenakker, however, looks like the role he's playing, but that's really because we all expected him to be Clark. At least the people that read the books expected him to be Clark. So, in my mind, he's playing Clark and not... whatever his name is in whatever episode.

But, Ali Suliman... he does a GREAT job so you get hooked despite the complaints from those of us who really wanted to see, well, the novels.

This isn't really about the novels. It's kind of true to them as in you can see it all fitting into the Ryanverse, but it's also a lot more straight out of the headlines for the W and Obama era presidencies and made in the Trump era where.... it seems more like a show from the past.

Either way, it works and it takes a little to get used to it if you are a fan of the books, or at least the Ford movies (which also took a little bit).

However, once you get passed it, the show is entertaining as all get out and.... for a streaming show, perfectly short in it's seasons, which is FANTASTIC given that shows like The Handmaiden's Tale, The Man in the High Tower, and so many other direct-to-streaming fair have more episodes than story.

Jack Ryan just enough where the filler isn't extreme and you can rest assured that the episodes are used to push the plot along and not just be filler.

AND THEN SEASON 2 HITS....

... and suddenly it's like they have forgotten how to write a suspenseful spy yarn, in fact, for the most part, they stop acting like spies altogether.

It was almost like they said, OK, we got viewers, the writers can be lazy now.

And all the tension and imagination that made Season 1 so much fun vanished in a puff of smoke.",True
modern family,Comedy,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",True,22.0,7.9,312.006,2860,US,2009-09-23,False,Ended,11,250,25.0,No reviews,False
